beta,gamma,rho,source_distance,kernel_weight
0.15550905314658953,0.08548273594832283,0.30557816923453274,0.3050760742969031,0.679765643148793
0.15718776415009794,0.08053584142936664,0.3071292906668224,0.3051601176297625,0.6797269410480399
0.16274480032928018,0.07979487406288487,0.3153938060812897,0.3053610999661153,0.6796343451040728
0.15543820094036687,0.08050981117827231,0.30598489915396626,0.3054813783339258,0.6795789016768996
0.16045957515975887,0.08112918534655167,0.3085911528184889,0.3056766164838604,0.6794888583584053
0.16165286853654612,0.08102640537342787,0.3114816563762388,0.306085671453587,0.6793000167520159
0.1536051470242806,0.08155998768437317,0.3049243593236624,0.3069765036610634,0.6788878872129775
0.1568111644028066,0.07980175024729576,0.30181022976795946,0.3070258896705182,0.6788650045106783
0.15833189330914035,0.08122600816265899,0.31171194331196256,0.3070607450285438,0.678848852280138
0.15630235610091156,0.08258376972860355,0.30914468185475236,0.3070708040590998,0.6788441905100902
0.15394363474714132,0.08269886948796808,0.30406441041455207,0.3073869776262926,0.6786975847887644
0.15540997447952357,0.0810021608585545,0.30152221005194424,0.3077407516981795,0.6785333653299372
0.15714212430527205,0.08359675282830022,0.3100612979762074,0.3081273153904518,0.6783537091923798
0.15914028351931547,0.08162587612090014,0.30932293979317466,0.3090974972175086,0.6779018222177837
0.15337938699744721,0.08221174950048006,0.3051656514531671,0.3091098571077836,0.6778960561187946
0.15421144029146341,0.08102788721552331,0.3085542555484342,0.3093714496253252,0.6777739646814291
0.1589902163013112,0.07937104429729509,0.3038234786839244,0.3095077686552392,0.6777103004210991
0.15315767798119231,0.08225188299992035,0.30251463624767216,0.3095736465209411,0.6776795238240441
0.14717181419403466,0.08286399791895245,0.29551657890019734,0.310101943498991,0.6774324789615929
0.15193142467957227,0.08234357537158762,0.29944577387609056,0.3104927908409319,0.6772494378854594
0.15262381158446053,0.08045768384371735,0.30235678817555495,0.3106307634608171,0.6771847676829102
0.15206348076343368,0.08267489463017973,0.30053522868689936,0.3107595134181103,0.6771243943907823
0.1548393657640948,0.08420136661874096,0.3090969629661572,0.3110841443830007,0.6769720577189197
0.15823612522674624,0.08282550693293014,0.3048261177343182,0.3111508538965492,0.6769407338412027
0.1588904303496353,0.08197060104062902,0.30560597458357597,0.311362093421811,0.676841500667198
0.1484515021312091,0.07959983110030026,0.30043780658459024,0.3114511432890989,0.6767996478764609
0.15580604097512082,0.08321185724795092,0.30613513704958073,0.3116075831177497,0.6767260933123904
0.16044588996236847,0.08459314590302966,0.31225962665836177,0.3117061249572878,0.6766797421473474
0.1601747455299947,0.08175313164145952,0.3080223363023058,0.3128132870098462,0.6761579585224203
0.1591724772748622,0.08129312629402054,0.30930742725894417,0.3131556114890129,0.6759962533085763
0.15837564218964925,0.08168711457414728,0.3079687167834098,0.3132488394007544,0.6759521842165567
0.15177095128476092,0.0820514457088065,0.3026166264817618,0.3134223466732618,0.6758701319238283
0.15264080300081895,0.0834997854906948,0.2981334593267883,0.313671452810155,0.6757522491776008
0.15242856138266211,0.08058549201533984,0.3041647448553863,0.3137384526264795,0.6757205273431426
0.15332687741036416,0.08298188010344773,0.3048536949455896,0.3143681102508387,0.6754220776690161
0.16011275951348353,0.07974783443221455,0.3067796173386916,0.3146255073033832,0.6752999024519082
0.1563271460402181,0.08008458704671467,0.3032629105304826,0.3147075251410876,0.6752609511341886
0.1509181063827317,0.07998219130835572,0.3023887284626772,0.3148499803137039,0.6751932732238858
0.1508120241915034,0.081060225700915,0.29921087510439776,0.3150927104258794,0.6750778859244566
0.1532135503786127,0.08167709373448821,0.30074461117188167,0.3153731359948653,0.674944468520459
0.15211018372139806,0.08133169613321321,0.3060486253005758,0.3154342555843382,0.6749153740462278
0.1623976055726476,0.08105461446039816,0.31254131954191217,0.3155088909409909,0.6748798380781491
0.1567434361099299,0.08034516841737237,0.30838045514542695,0.3159398521818676,0.6746744810231862
0.14748955407984154,0.0797393531751532,0.2963843340731388,0.3161616354313525,0.6745686899881889
0.15720779077268468,0.08312866870822337,0.3075555805179217,0.3164823285259341,0.6744155874859852
0.1526202265640803,0.08251732512203366,0.3047060136808098,0.3166324494964477,0.6743438647041774
0.1479583896279564,0.08120560375687809,0.30179042692909935,0.3172160591527643,0.6740647123767001
